rep	segment	sample	fov	infected_cells	spots	median_intensity	mean_radius	spots_per_infected_cell	plp
rep0	HA	10PLP	fov_0	19	885	0.027237354	3	46.578947368421055	10
rep0	HA	10PLP	fov_1	58	3562	0.0161364155	3	61.41379310344828	10
rep0	HA	10PLP	fov_2	38	1612	0.019127184499999998	3	42.421052631578945	10
rep0	HA	10PLP	fov_3	46	5005	0.012726024	3	108.80434782608695	10
rep0	HA	10PLP	fov_4	48	4121	0.017074846	3	85.85416666666667	10
rep0	HA	10PLP	fov_5	41	8013	0.025925077	3	195.4390243902439	10
rep0	HA	10PLP	fov_6	41	4475	0.020080872	3	109.14634146341463	10
rep0	HA	10PLP	fov_8	52	3512	0.027412832499999998	3	67.53846153846153	10
rep0	HA	1PLP	fov_0	36	926	0.020065613	3	25.72222222222222	1
rep0	HA	1PLP	fov_1	29	776	0.00504310675	3	26.75862068965517	1
rep0	HA	1PLP	fov_2	28	743	0.0077973604	3	26.535714285714285	1
rep0	HA	1PLP	fov_3	36	1923	0.01760891	3	53.416666666666664	1
rep0	HA	1PLP	fov_4	29	1123	0.007843137	3	38.724137931034484	1
rep0	HA	1PLP	fov_5	36	1241	0.007080186	3	34.47222222222222	1
rep0	HA	1PLP	fov_6	24	841	0.011917296	3	35.041666666666664	1
rep0	HA	1PLP	fov_7	16	546	0.01168078125	3	34.125	1
rep0	HA	1PLP	fov_8	39	1566	0.011886778	3	40.15384615384615	1
rep0	HA	2PLP	fov_0	42	1923	0.01887541	3	45.785714285714285	2
rep0	HA	2PLP	fov_1	37	1677	0.011520562	3	45.32432432432432	2
rep0	HA	2PLP	fov_2	28	1278	0.0140459295	3	45.642857142857146	2
rep0	HA	2PLP	fov_3	33	1578	0.0106279085	3	47.81818181818182	2
rep0	HA	2PLP	fov_4	26	683	0.014007783	3	26.26923076923077	2
rep0	HA	2PLP	fov_5	22	1523	0.013046464	3	69.22727272727273	2
rep0	HA	2PLP	fov_6	42	2410	0.018028535	3	57.38095238095238	2
rep0	HA	2PLP	fov_7	38	1998	0.016563669000000003	3	52.578947368421055	2
rep0	HA	2PLP	fov_8	35	2310	0.0138017855	3	66	2
rep0	HA	3PLP	fov_0	40	1538	0.010399023	3	38.45	3
rep0	HA	3PLP	fov_1	37	1364	0.0100175475	3	36.86486486486486	3
rep0	HA	3PLP	fov_2	43	1916	0.00999466	3	44.55813953488372	3
rep0	HA	3PLP	fov_3	54	2705	0.017059587	3	50.092592592592595	3
rep0	HA	3PLP	fov_4	57	2992	0.008743419	3	52.49122807017544	3
rep0	HA	3PLP	fov_5	42	1620	0.011108568	3	38.57142857142857	3
rep0	HA	3PLP	fov_6	34	2195	0.009430075	3	64.55882352941177	3
rep0	HA	3PLP	fov_7	50	3068	0.021194782	3	61.36	3
rep0	HA	3PLP	fov_8	60	3205	0.020462349	3	53.416666666666664	3
rep0	HA	4PLP	fov_0	45	2189	0.014724956	3	48.644444444444446	4
rep0	HA	4PLP	fov_1	41	1787	0.024689097	3	43.58536585365854	4
rep0	HA	4PLP	fov_2	43	2346	0.018066682	3	54.55813953488372	4
rep0	HA	4PLP	fov_3	30	2922	0.011924926	3	97.4	4
rep0	HA	4PLP	fov_4	39	1702	0.022598611	3	43.64102564102564	4
rep0	HA	4PLP	fov_5	61	3591	0.012405585	3	58.868852459016395	4
rep0	HA	4PLP	fov_6	26	679	0.011276417	3	26.115384615384617	4
rep0	HA	4PLP	fov_7	35	1297	0.010360876	3	37.05714285714286	4
rep0	HA	4PLP	fov_8	36	2412	0.015754940000000002	3	67	4
rep0	HA	6PLP	fov_0	34	1449	0.01451133	3	42.61764705882353	6
rep0	HA	6PLP	fov_1	27	1494	0.013824673000000001	3	55.333333333333336	6
rep0	HA	6PLP	fov_2	33	1998	0.009864958	3	60.54545454545455	6
rep0	HA	6PLP	fov_3	20	584	0.023002974500000002	3	29.2	6
rep0	HA	6PLP	fov_4	62	3470	0.012771801	3	55.96774193548387	6
rep0	HA	6PLP	fov_5	39	2323	0.011841001	3	59.56410256410256	6
rep0	HA	6PLP	fov_6	8	146	0.0207064925	3	18.25	6
rep0	HA	6PLP	fov_7	42	4498	0.017517358	3	107.0952380952381	6
rep0	HA	6PLP	fov_8	42	4255	0.015930418	3	101.30952380952381	6
rep0	HA	8PLP	fov_0	44	1268	0.020508125500000002	3	28.818181818181817	8
rep0	HA	8PLP	fov_1	29	2050	0.0088654915	3	70.6896551724138	8
rep0	HA	8PLP	fov_2	25	1388	0.026070040000000003	3	55.52	8
rep0	HA	8PLP	fov_3	62	3561	0.020019837	3	57.435483870967744	8
rep0	HA	8PLP	fov_4	72	4411	0.02041657	3	61.263888888888886	8
rep0	HA	8PLP	fov_5	45	3965	0.01794461	3	88.11111111111111	8
rep0	HA	8PLP	fov_6	60	3641	0.015625238	3	60.68333333333333	8
rep0	HA	8PLP	fov_7	48	2943	0.019317921	3	61.3125	8
rep0	HA	8PLP	fov_8	30	396	0.04501411499999999	3	13.2	8
rep1	HA	10PLP	fov_0	27	767	0.002746624	3	28.40740740740741	10
rep1	HA	10PLP	fov_1	19	391	0.002746624	3	20.57894736842105	10
rep1	HA	10PLP	fov_2	21	375	0.0026245518	3	17.857142857142858	10
rep1	HA	10PLP	fov_3	76	3077	0.0014953841	3	40.48684210526316	10
rep1	HA	10PLP	fov_4	33	630	0.0025635157	3	19.09090909090909	10
rep1	HA	10PLP	fov_5	27	541	0.002731365	3	20.037037037037038	10
rep1	HA	10PLP	fov_6	29	611	0.002746624	3	21.06896551724138	10
rep1	HA	10PLP	fov_7	27	587	0.0026703288	3	21.74074074074074	10
rep1	HA	10PLP	fov_8	15	293	0.0025177386	3	19.533333333333335	10
rep1	HA	10PLP	fov_9	19	433	0.0024261845	3	22.789473684210527	10
rep1	HA	1PLP	fov_0	62	1609	0.00140383	3	25.951612903225808	1
rep1	HA	1PLP	fov_1	45	1477	0.001358053	3	32.82222222222222	1
rep1	HA	1PLP	fov_2	40	1263	0.0013427939	3	31.575	1
rep1	HA	1PLP	fov_3	34	692	0.0014953841	3	20.352941176470587	1
rep1	HA	1PLP	fov_4	52	1160	0.0014801251	3	22.307692307692307	1
rep1	HA	1PLP	fov_5	45	792	0.0017853056	3	17.6	1
rep1	HA	1PLP	fov_6	59	1131	0.0013122759	3	19.16949152542373	1
rep1	HA	1PLP	fov_7	53	1226	0.0013427939	3	23.132075471698112	1
rep1	HA	1PLP	fov_8	59	1273	0.0012817578	3	21.576271186440678	1
rep1	HA	1PLP	fov_9	56	1436	0.0014648661	3	25.642857142857142	1
rep1	HA	2PLP	fov_0	34	966	0.0014648661	3	28.41176470588235	2
rep1	HA	2PLP	fov_1	26	449	0.0022278172	3	17.26923076923077	2
rep1	HA	2PLP	fov_2	90	2721	0.0016479744	3	30.233333333333334	2
rep1	HA	2PLP	fov_3	77	2446	0.0016479744	3	31.766233766233768	2
rep1	HA	2PLP	fov_4	82	2506	0.0016327153	3	30.5609756097561	2
rep1	HA	2PLP	fov_5	74	1332	0.0021972992	3	18	2
rep1	HA	2PLP	fov_6	93	2758	0.0015716793	3	29.655913978494624	2
rep1	HA	2PLP	fov_7	87	2544	0.0015564202	3	29.24137931034483	2
rep1	HA	2PLP	fov_8	58	1229	0.002075227	3	21.189655172413794	2
rep1	HA	2PLP	fov_9	67	2216	0.0014801251	3	33.07462686567164	2
rep1	HA	3PLP	fov_0	74	2234	0.0012207218	3	30.18918918918919	3
rep1	HA	3PLP	fov_1	22	402	0.0019531548	3	18.272727272727273	3
rep1	HA	3PLP	fov_2	66	1781	0.0011139086	3	26.984848484848484	3
rep1	HA	3PLP	fov_3	56	1803	0.0012970169	3	32.19642857142857	3
rep1	HA	3PLP	fov_4	59	2388	0.0013122759	3	40.47457627118644	3
rep1	HA	3PLP	fov_5	79	3493	0.0011902037	3	44.21518987341772	3
rep1	HA	3PLP	fov_7	73	1752	0.0010833906	3	24	3
rep1	HA	3PLP	fov_8	68	3978	0.0012054627	3	58.5	3
rep1	HA	3PLP	fov_9	26	372	0.0018234531	3	14.307692307692308	3
rep1	HA	4PLP	fov_0	113	4804	0.001419089	3	42.51327433628319	4
rep1	HA	4PLP	fov_1	29	606	0.002075227	3	20.896551724137932	4
rep1	HA	4PLP	fov_2	82	2925	0.0010376135	3	35.670731707317074	4
rep1	HA	4PLP	fov_3	74	2258	0.0014801251	3	30.513513513513512	4
rep1	HA	4PLP	fov_4	35	607	0.0019226368	3	17.34285714285714	4
rep1	HA	4PLP	fov_5	30	601	0.002105745	3	20.033333333333335	4
rep1	HA	4PLP	fov_6	74	3315	0.0012970169	3	44.7972972972973	4
rep1	HA	4PLP	fov_7	68	3187	0.0011444266	3	46.86764705882353	4
rep1	HA	4PLP	fov_8	74	3355	0.0012970169	3	45.33783783783784	4
rep1	HA	4PLP	fov_9	89	4871	0.001419089	3	54.73033707865169	4
rep1	HA	5PLP	fov_0	31	995	0.0019378958	3	32.096774193548384	5
rep1	HA	5PLP	fov_1	52	2332	0.0012512398	3	44.84615384615385	5
rep1	HA	5PLP	fov_2	42	1441	0.0012512398	3	34.30952380952381	5
rep1	HA	5PLP	fov_3	17	357	0.0018616007	3	21	5
rep1	HA	5PLP	fov_4	24	722	0.001419089	3	30.083333333333332	5
rep1	HA	5PLP	fov_5	31	1290	0.0016784924	3	41.61290322580645	5
rep1	HA	5PLP	fov_6	47	1030	0.0010986496	3	21.914893617021278	5
rep1	HA	5PLP	fov_7	66	1935	0.0012054627	3	29.318181818181817	5
rep1	HA	5PLP	fov_8	70	2127	0.0012664988	3	30.385714285714286	5
rep1	HA	5PLP	fov_9	74	3702	0.001373312	3	50.027027027027025	5
rep1	HA	6PLP	fov_0	104	5006	0.002044709	3	48.13461538461539	6
rep1	HA	6PLP	fov_1	70	1847	0.0022278172	3	26.385714285714286	6
rep1	HA	6PLP	fov_2	59	2458	0.0024872206	3	41.66101694915254	6
rep1	HA	6PLP	fov_3	89	2182	0.0022735943	3	24.51685393258427	6
rep1	HA	6PLP	fov_4	105	4051	0.0026092927	3	38.58095238095238	6
rep1	HA	6PLP	fov_5	94	3024	0.00280766	3	32.170212765957444	6
rep1	HA	6PLP	fov_6	102	4847	0.0023346303	3	47.51960784313726	6
rep1	HA	6PLP	fov_7	67	2519	0.0025787747	3	37.59701492537314	6
rep1	HA	6PLP	fov_8	83	2681	0.0018310826	3	32.30120481927711	6
rep1	HA	6PLP	fov_9	79	2747	0.002014191	3	34.77215189873418	6
rep1	HA	8PLP	fov_0	78	3196	0.0023956664	3	40.97435897435897	8
rep1	HA	8PLP	fov_1	67	2937	0.0025329976	3	43.83582089552239	8
rep1	HA	8PLP	fov_2	98	3542	0.0017700465	3	36.142857142857146	8
rep1	HA	8PLP	fov_3	86	3360	0.0018921187	3	39.06976744186046	8
rep1	HA	8PLP	fov_4	78	2487	0.0023498894	3	31.884615384615383	8
rep1	HA	8PLP	fov_5	78	2309	0.0022735943	3	29.602564102564102	8
rep1	HA	8PLP	fov_6	96	3861	0.0018921187	3	40.21875	8
rep1	HA	8PLP	fov_7	72	2731	0.0024261845	3	37.93055555555556	8
rep1	HA	8PLP	fov_8	68	2278	0.0016784924	3	33.5	8
rep1	HA	8PLP	fov_9	51	2318	0.0022888533	3	45.450980392156865	8
rep2	HA	10PLP	fov_0	42	1012	0.0022125582	3	24.095238095238095	10
rep2	HA	10PLP	fov_1	34	887	0.002166781	3	26.08823529411765	10
rep2	HA	10PLP	fov_2	33	845	0.002121004	3	25.606060606060606	10
rep2	HA	10PLP	fov_3	41	734	0.002105745	3	17.902439024390244	10
rep2	HA	10PLP	fov_4	67	2417	0.0014801251	3	36.07462686567164	10
rep2	HA	10PLP	fov_5	16	681	0.002121004	3	42.5625	10
rep2	HA	10PLP	fov_6	38	873	0.0018768597	3	22.973684210526315	10
rep2	HA	10PLP	fov_7	14	412	0.0018463416	3	29.428571428571427	10
rep2	HA	10PLP	fov_8	80	3805	0.001373312	3	47.5625	10
rep2	HA	10PLP	fov_9	33	760	0.00199130235	3	23.03030303030303	10
rep2	HA	1PLP	fov_0	62	1493	0.0015411612	3	24.080645161290324	1
rep2	HA	1PLP	fov_1	89	2180	0.0013427939	3	24.49438202247191	1
rep2	HA	1PLP	fov_2	66	2088	0.0012970169	3	31.636363636363637	1
rep2	HA	1PLP	fov_3	39	664	0.0016937514	3	17.025641025641026	1
rep2	HA	1PLP	fov_4	80	1506	0.0015640497500000001	3	18.825	1
rep2	HA	1PLP	fov_5	81	2201	0.0016174563	3	27.17283950617284	1
rep2	HA	1PLP	fov_6	73	2073	0.0013275349	3	28.397260273972602	1
rep2	HA	1PLP	fov_7	61	1227	0.0018005646	3	20.114754098360656	1
rep2	HA	1PLP	fov_8	79	2053	0.0012817578	3	25.9873417721519	1
rep2	HA	1PLP	fov_9	52	1050	0.0017547875	3	20.192307692307693	1
rep2	HA	2PLP	fov_0	38	1475	0.001388571	3	38.81578947368421	2
rep2	HA	2PLP	fov_1	30	941	0.0014496071	3	31.366666666666667	2
rep2	HA	2PLP	fov_2	20	330	0.00202945	3	16.5	2
rep2	HA	2PLP	fov_3	67	2011	0.0016479744	3	30.01492537313433	2
rep2	HA	2PLP	fov_4	58	1137	0.002090486	3	19.603448275862068	2
rep2	HA	2PLP	fov_5	32	512	0.002075227	3	16	2
rep2	HA	2PLP	fov_6	52	1493	0.00140383	3	28.71153846153846	2
rep2	HA	2PLP	fov_7	4	66	0.0018234531	3	16.5	2
rep2	HA	2PLP	fov_8	41	1076	0.0011902037	3	26.24390243902439	2
rep2	HA	2PLP	fov_9	19	245	0.0016174563	3	12.894736842105264	2
rep2	HA	3PLP	fov_0	25	561	0.0012054627	3	22.44	3
rep2	HA	3PLP	fov_1	35	540	0.0010070954	3	15.428571428571429	3
rep2	HA	3PLP	fov_2	10	195	0.0015411612	3	19.5	3
rep2	HA	3PLP	fov_3	46	1346	0.0010833906	3	29.26086956521739	3
rep2	HA	3PLP	fov_4	42	1361	0.0010528725	3	32.404761904761905	3
rep2	HA	3PLP	fov_5	64	1632	0.0010528725	3	25.5	3
rep2	HA	3PLP	fov_6	55	2488	0.0010528725	3	45.236363636363635	3
rep2	HA	3PLP	fov_7	49	1671	0.0010833906	3	34.10204081632653	3
rep2	HA	3PLP	fov_8	47	1201	0.0011291676	3	25.5531914893617	3
rep2	HA	3PLP	fov_9	2	11	0.0026703288	3	5.5	3
rep2	HA	4PLP	fov_0	59	3525	0.0013275349	3	59.74576271186441	4
rep2	HA	4PLP	fov_1	73	4114	0.0013122759	3	56.35616438356164	4
rep2	HA	4PLP	fov_2	76	4009	0.0013427939	3	52.75	4
rep2	HA	4PLP	fov_3	65	1793	0.0012054627	3	27.584615384615386	4
rep2	HA	4PLP	fov_4	56	2645	0.0012512398	3	47.232142857142854	4
rep2	HA	4PLP	fov_5	36	753	0.0017090105	3	20.916666666666668	4
rep2	HA	4PLP	fov_6	66	1709	0.0011902037	3	25.893939393939394	4
rep2	HA	4PLP	fov_7	80	2706	0.0011444266	3	33.825	4
rep2	HA	4PLP	fov_8	62	2916	0.0012054627	3	47.03225806451613	4
